region_id,center_lon,center_lat,nearest_station
bowen_island_municipality,-123.37039852,49.37425461,WEST VANCOUVER AUT
burnaby,-122.96499895,49.24791694,DELTA BURNS BOG
coquitlam,-122.77189368,49.29712003,PITT MEADOWS CS
delta,-123.07319465,49.07752525,DELTA BURNS BOG
maple_ridge,-122.51578925,49.26198416,PITT MEADOWS CS
new_westminster,-122.91890253,49.20823974,DELTA BURNS BOG
pitt_meadows,-122.6631445,49.27218408,PITT MEADOWS CS
port_coquitlam,-122.76248696,49.2532574,PITT MEADOWS CS
richmond,-123.17454843,49.16962643,VANCOUVER SEA ISLAND CCG
port_moody,-122.87320389,49.29721394,PITT MEADOWS CS
surrey,-122.7955447,49.10689693,WHITE ROCK
vancouver,-123.11278435,49.25370505,VANCOUVER HARBOUR CS
white_rock,-122.81485026,49.01731652,WHITE ROCK
north_vancouver,-123.00405565,49.36098531,VANCOUVER HARBOUR CS
west_vancouver,-123.19539833,49.36648517,WEST VANCOUVER AUT
electoral_area_a,-123.0593348,49.37089784,VANCOUVER HARBOUR CS
langley,-122.57187359,49.09437911,PITT MEADOWS CS
tsawwassen_first_nation,-123.10752779,49.03589103,DELTA BURNS BOG
anmore,-122.85262399,49.34618367,PITT MEADOWS CS
belcarra,-122.90580814,49.33136287,VANCOUVER HARBOUR CS
lions_bay,-123.23779468,49.46233983,WEST VANCOUVER AUT
